id,type,intensity,category,isPremium,estimatedTime,requires,safetyNotes,content_en,content_es,translationStatus,notes
lvl1-d-009,dare,1,physical,false,30 sec,,,Kiss the back of my hand like you are asking permission to flirt harder.,Besa el dorso de mi mano como si pidieras permiso para coquetear más fuerte.,translated,
lvl1-d-010,dare,1,playful,false,30 sec,,,"Swap flirt styles with me for 30 seconds: move, talk, and tease the way I do.","Intercambia estilos de coqueteo conmigo durante 30 segundos: muévete, habla y provoca como lo hago yo.",translated,
lvl1-d-013,dare,1,emotional,false,30 sec,,,Draw a tiny secret symbol on my palm and whisper what you want it to mean this round.,Dibuja un pequeño símbolo secreto en mi palma y susúrrame qué quieres que signifique esta ronda.,translated,
lvl1-d-014,dare,1,playful,false,30 sec,,,"Stand behind me, place your hands on my waist, and guide one slow turn like I am on display.","Ponte detrás de mí, coloca tus manos en mi cintura y guía un giro lento como si estuviera en exhibición.",translated,
lvl1-d-015,dare,1,physical,false,30 sec,,Keep anything at the neck loose and decorative—never restricting. Remove immediately on request.,Brush my hair or fix my collar/shirt with extra care and attention.,Cepilla mi cabello o arregla mi cuello/camisa con especial cuidado y atención.,translated,
lvl1-c-002,challenge,1,physical,false,30 sec,music,,"Slow Dance: Hum or play one chorus of a song and slow dance with me, forehead to forehead, until it ends.","Baile lento: Tararea o pon un coro de una canción y baila lento conmigo, frente con frente, hasta que termine.",translated,
lvl1-c-003,challenge,1,emotional,false,30 sec,paper;pen,,"Love Note: Write me a five-word love note, fold it, and press it into my hand like a secret.","Nota de amor: Escríbeme una nota de amor de cinco palabras, dóblala y ponla en mi mano como un secreto.",translated,
lvl1-c-004,challenge,1,communication,false,30 sec,,,"Quick Fire: Ask each other three flirty yes/no questions. No dodging, no explaining until the timer ends.",Ronda rápida: Háganse tres preguntas coquetas de sí o no. Sin esquivar ni explicar hasta que suene el cronómetro.,translated,
lvl1-c-005,challenge,1,playful,false,30 sec,,,"Mirror Me: Copy my slowest, most seductive movement for 30 seconds. Then I copy yours.",Imítame: Copia mi movimiento más lento y seductor durante 30 segundos. Luego yo copio el tuyo.,translated,
lvl1-c-006,challenge,1,playful,false,30 sec,,,20 Questions: Pick one thing you want me to do to you right now. I get 20 yes/no questions to guess it.,20 preguntas: Elige algo que quieras que te haga ahora mismo. Yo tengo 20 preguntas de sí o no para adivinarlo.,translated,
lvl1-c-007,challenge,1,emotional,false,30 sec,music,,Soundtrack Swap: Each of you names one song that would make this room feel hotter right now.,Cambio de banda sonora: Cada uno nombra una canción que haría esta habitación más ardiente ahora mismo.,translated,
lvl1-c-009,challenge,1,communication,false,30 sec,,,Next Move: Each of you names one quick thing you want the other to do before the next draw.,Siguiente movimiento: Cada uno nombra una cosa rápida que quiere que el otro haga antes de la próxima carta.,translated,
lvl1-c-011,challenge,1,emotional,false,30 sec,,,"Breathing Sync: Sit facing each other, hold hands, and try to breathe in sync for 30 seconds.","Respiración en sincronía: Siéntense frente a frente, tómense de las manos e intenten respirar al mismo tiempo durante 30 segundos.",translated,
lvl1-c-012,challenge,1,playful,false,30 sec,,,Tease Story: Take turns adding one sentence to describe how this round gets more tempting.,Historia provocadora: Túrnense para añadir una frase que describa cómo esta ronda se vuelve más tentadora.,translated,
lvl1-c-013,challenge,1,emotional,false,30 sec,,,Memory Spark: Each of you names one moment when the other looked especially irresistible.,Chispa de recuerdos: Cada uno nombra un momento en que el otro se veía especialmente irresistible.,translated,
lvl1-c-014,challenge,1,playful,false,10 sec,,,Hand Control: Thumb wrestle once. Winner places the loser's hand somewhere non-explicit for 10 seconds.,Control de manos: Jueguen una vez a las vencidas con el pulgar. El ganador coloca la mano del perdedor en un lugar no explícito durante 10 segundos.,translated,
lvl1-fn-003,fantasy,1,emotional,false,N/A,,,Describe waking up next to me and the first teasing thing you would do before either of us gets up.,"Describe despertar a mi lado y lo primero, con picardía, que harías antes de que cualquiera de los dos se levante.",translated,
lvl1-fn-006,fantasy,1,emotional,false,N/A,,,"Describe the coziest outfit you could put me in right now, then what you would adjust first.","Describe el conjunto más acogedor que podrías ponerme ahora mismo, luego qué ajustarías primero.",translated,
lvl1-fn-007,fantasy,1,playful,false,N/A,,,"Imagine we could vanish for one private minute. Where do we land, and what's the first thing you whisper?",Imagina que pudiéramos desaparecer por un minuto de privacidad. ¿Dónde aterrizamos y qué es lo primero que susurras?,translated,
lvl1-rp-006,roleplay,1,physical,false,30 sec,,,"Dance Instructor: Teach me a simple dance step. Be patient, encouraging, and close.","Instructor de baile: Enséñame un paso sencillo. Sé paciente, alentador y cercano.",translated,
lvl1-t-001,truth,1,emotional,false,N/A,,,What's your favorite thing about my smile? Tell me while looking into my eyes.,¿Qué es lo que más te gusta de mi sonrisa? Dímelo mientras me miras a los ojos.,translated,
lvl1-t-003,truth,1,emotional,false,N/A,,,What's a sweet memory of us that always makes you smile?,¿Cuál es un recuerdo dulce nuestro que siempre te hace sonreír?,translated,
lvl1-t-005,truth,1,emotional,false,N/A,,,What's your favorite way to be comforted when you're having a bad day?,¿Cuál es tu manera favorita de que te consuelen cuando tienes un mal día?,translated,
lvl1-t-006,truth,1,emotional,false,N/A,,,What's something small I do that makes you feel loved?,¿Qué cosa pequeña hago que te hace sentir amado?,translated,
lvl1-t-008,truth,1,emotional,false,N/A,,,"What sound from me—laugh, sigh, whisper, or breath—gets your attention fastest?","¿Qué sonido mío —risa, suspiro, susurro o respiración— capta tu atención más rápido?",translated,
lvl1-t-010,truth,1,emotional,false,N/A,,,What is one innocent habit of mine that becomes distracting when you notice it?,¿Qué hábito inocente mío se vuelve distraído cuando lo notas?,translated,
lvl1-t-012,truth,1,physical,false,N/A,,,What's your favorite physical feature of mine? Point to it.,¿Cuál es tu rasgo físico favorito mío? Señálalo.,translated,
lvl1-t-013,truth,1,communication,false,N/A,,,What's one playful role swap you would try with me for 1 minute?,¿Qué intercambio de roles juguetón probarías conmigo durante 1 minuto?,translated,
lvl1-t-014,truth,1,emotional,false,N/A,,,What is one small seductive gesture from me that would feel romantic and dangerous at the same time?,¿Qué pequeño gesto seductor mío se sentiría romántico y peligroso al mismo tiempo?,translated,
lvl1-d-005,dare,1,emotional,false,30 sec,,,"Whisper 'te quiero' or 'I love you' in my ear three different ways—sweet, playful, and dramatic.","Susúrrame «te quiero» al oído de tres maneras distintas: dulce, juguetona y dramática.",translated,
lvl1-d-011,dare,1,emotional,false,30 sec,,,Give me a gentle forehead kiss and tell me one thing you're grateful for about us.,Dame un tierno beso en la frente y dime una cosa por la que estás agradecido de nosotros.,translated,
lvl1-d-012,dare,1,playful,false,30 sec,,,"Tickle me gently for 30 seconds, but stop immediately if I say 'parar' (stop).","Hazme cosquillas suaves durante 30 segundos, pero para de inmediato si digo «parar».",translated,
lvl1-c-001,challenge,1,emotional,false,30 sec,,,Eye Gazing Challenge: Stare into each other's eyes for 30 seconds without talking or looking away. First to break eye contact gives the other a kiss.,Reto de miradas: Mírense a los ojos durante 30 segundos sin hablar ni apartar la vista. El primero que rompa el contacto visual le da un beso al otro.,translated,
lvl1-c-008,challenge,1,physical,false,30 sec,,,Trust Fall: Fall backward into my arms. I'll catch you. Then we switch.,Caída de confianza: Déjate caer hacia atrás en mis brazos. Yo te atrapo. Luego cambiamos.,translated,
lvl1-c-010,challenge,1,playful,false,30 sec,,,Compliment Battle: Take turns giving each other compliments. The first one who can't think of one loses and has to give a kiss.,Batalla de cumplidos: Túrnense para darse cumplidos. El primero que no se le ocurra uno pierde y tiene que dar un beso.,translated,
lvl1-c-015,challenge,1,emotional,false,30 sec,,,Gratitude Circle: Take turns sharing three things you're grateful for about your life right now.,Círculo de gratitud: Túrnense para compartir tres cosas por las que están agradecidos de su vida ahora mismo.,translated,
lvl1-fn-001,fantasy,1,playful,false,N/A,,,Imagine we are alone on a blanket outside. Describe the teasing rule we both have to follow for 1 minute.,Imagina que estamos solos sobre una manta al aire libre. Describe la regla juguetona que ambos tenemos que seguir durante 1 minuto.,translated,
lvl1-fn-002,fantasy,1,playful,false,N/A,,,Pretend we're meeting for the first time at a coffee shop. Introduce yourself and flirt with me.,Imagina que nos conocemos por primera vez en una cafetería. Preséntate y coquetea conmigo.,translated,
lvl1-fn-004,fantasy,1,emotional,false,N/A,,,"Imagine I am dressed exactly how you like. What am I wearing, and what do you notice first?",Imagina que estoy vestido justo como te gusta. ¿Qué llevo puesto y qué notas primero?,translated,
lvl1-fn-005,fantasy,1,playful,false,N/A,,,Pretend we're strangers at a hotel bar. Give me the first line that would make me stay.,Imagina que somos desconocidos en el bar de un hotel. Dame la primera frase que me haría quedarme.,translated,
lvl1-fn-008,fantasy,1,playful,false,N/A,,,Pretend we're characters in a secret flirtation. What tiny signal tells me you want my attention?,Imagina que somos personajes en un coqueteo secreto. ¿Qué pequeña señal me dice que quieres mi atención?,translated,
lvl1-rp-001,roleplay,1,playful,false,30 sec,,,Barista and Customer: You're making me the perfect coffee. Flirt with me while you 'prepare' my drink.,Barista y cliente: Me estás preparando el café perfecto. Coquetea conmigo mientras «preparas» mi bebida.,translated,
lvl1-rp-002,roleplay,1,playful,false,30 sec,,,Stylist and Client: Adjust one part of my outfit and tell me why it looks better your way.,Estilista y cliente: Ajusta una parte de mi conjunto y dime por qué se ve mejor a tu manera.,translated,
lvl1-rp-003,roleplay,1,playful,false,30 sec,,,"Makeup Artist and Muse: Pretend to touch up my look with one fingertip, then show me the final pose.","Maquillador y musa: Finge retocar mi look con la yema de un dedo, luego muéstrame la pose final.",translated,
lvl1-rp-004,roleplay,1,emotional,false,30 sec,,,Artist and Muse: I'm your inspiration. Describe what you see and how it moves you to create.,Artista y musa: Soy tu inspiración. Describe lo que ves y cómo te mueve a crear.,translated,
lvl1-rp-005,roleplay,1,communication,false,30 sec,,,Secret Admirer: Deliver a 30-second confession about the part of me you cannot stop noticing.,Admirador secreto: Suéltame una confesión de 30 segundos sobre la parte de mí que no puedes dejar de notar.,translated,
lvl1-rp-007,roleplay,1,communication,false,30 sec,,,"Photographer and Model: Direct one pose, one look, and one expression. Keep it tasteful but charged.","Fotógrafo y modelo: Dirige una pose, una mirada y una expresión. Mantenlo elegante pero cargado.",translated,
lvl1-qk-001,dare,1,playful,false,30 sec,,,"Look me up and down—slowly, obviously—then bite your lip and say 'not bad.' Sell it.","Mírame de arriba abajo, despacio, sin disimular, luego muérdete el labio y di «nada mal». Convénceme.",translated,
lvl1-qk-002,dare,1,playful,false,30 sec,perfume,,Spray your perfume or cologne on your wrist and hold it to my lips like an offering.,Rocía tu perfume o colonia en tu muñeca y acércala a mis labios como una ofrenda.,translated,
lvl1-qk-003,dare,1,playful,false,30 sec,,,Kiss the back of my hand like we just met at a royal ball. Introduce yourself in character.,Besa el dorso de mi mano como si acabáramos de conocernos en un baile real. Preséntate en personaje.,translated,
lvl1-qk-004,challenge,1,playful,false,30 sec,,,Walk across the room the way I walk. Then I walk like you. Loving imitation only—make it charming.,"Camina por la habitación como camino yo. Luego yo camino como tú. Solo imitación cariñosa, hazlo encantador.",translated,
lvl1-qk-005,dare,1,physical,false,30 sec,,,"Fix one thing about my outfit—a sleeve, a button, a strand of hair—slowly, like it matters.","Arregla una cosa de mi conjunto —una manga, un botón, un mechón de cabello— despacio, como si importara.",translated,
lvl1-qk-006,truth,1,communication,false,N/A,,,Which single item in my wardrobe do you secretly love on me? Why that one?,¿Qué prenda de mi armario amas en secreto verme puesta? ¿Por qué esa?,translated,
lvl1-qk-007,dare,1,playful,false,30 sec,,,Strike your best magazine-cover pose against the nearest wall and hold it while I rate it out of ten.,Adopta tu mejor pose de portada de revista contra la pared más cercana y sostenla mientras la califico del uno al diez.,translated,
lvl1-qk-008,dare,1,emotional,false,30 sec,,,Whisper my name into my ear like it's the answer to a question you've been asked all your life.,Susúrrame mi nombre al oído como si fuera la respuesta a una pregunta que te han hecho toda la vida.,translated,
lvl2-t-003,truth,2,intimate,true,N/A,,,What do you desire more of in our physical connection?,¿Qué deseas más en nuestra conexión física?,translated,
lvl2-t-006,truth,2,emotional,true,N/A,,,When do you feel most desired by me? Describe that moment.,¿Cuándo te sientes más deseado por mí? Describe ese momento.,translated,
lvl2-t-008,truth,2,emotional,true,N/A,,,What kind of touch makes you feel most connected to me emotionally?,¿Qué tipo de caricia te hace sentir más conectado conmigo emocionalmente?,translated,
lvl2-t-009,truth,2,playful,true,N/A,,,"If you had one uninterrupted private minute, what would you want to happen first?","Si tuvieras un minuto de privacidad sin interrupciones, ¿qué querrías que pasara primero?",translated,
lvl2-t-011,truth,2,intimate,true,N/A,,,"Describe your ideal make-out session. Where, how long, what leads up to it?","Describe tu sesión de besos ideal. ¿Dónde, cuánto dura, qué la antecede?",translated,
lvl2-t-015,truth,2,emotional,true,N/A,,,"What song would make you want to pull me closer right now, and where would your hands go?","¿Qué canción te haría querer acercarme ahora mismo, y adónde irían tus manos?",translated,
lvl2-d-001,dare,2,physical,true,30 sec,oil,,"Give me a 30-second slow shoulder massage, then pause and ask where your hands should go next.","Dame un masaje lento de hombros de 30 segundos, luego haz una pausa y pregunta adónde deberían ir tus manos.",translated,
lvl2-d-002,dare,2,playful,true,30 sec,fruit,,Feed me a piece of fruit using only your mouth—no hands allowed.,"Dame un trozo de fruta usando solo tu boca, sin manos.",translated,
lvl2-d-003,dare,2,intimate,true,30 sec,,,"Whisper three secrets in my ear—one sweet, one silly, and one slightly spicy.","Susúrrame tres secretos al oído: uno dulce, uno tonto y uno un poco picante.",translated,
lvl2-d-004,dare,2,physical,true,30 sec,,,"Kiss every finger on my hand, one by one, while maintaining eye contact.","Besa cada dedo de mi mano, uno por uno, manteniendo el contacto visual.",translated,
lvl2-d-006,dare,2,playful,true,30 sec,,,"Brush your nose against mine, then whisper one thing I do that makes you want to kiss me.","Roza tu nariz con la mía, luego susúrrame una cosa que hago que te dan ganas de besarme.",translated,
lvl2-d-007,dare,2,physical,true,30 sec,,,"Kiss my neck slowly, counting to ten in Spanish with each kiss.","Besa mi cuello despacio, contando hasta diez en español con cada beso.",translated,
lvl2-d-008,dare,2,physical,true,30 sec,,,"Hold my face in your hands and kiss me softly, then passionately, then softly again.","Sostén mi cara en tus manos y bésame suave, luego con pasión, luego suave de nuevo.",translated,
lvl2-d-009,dare,2,physical,true,30 sec,music,,Dance with me for 30 seconds like the music is private and the room belongs to us.,Baila conmigo durante 30 segundos como si la música fuera privada y la habitación fuera nuestra.,translated,
lvl2-d-010,dare,2,physical,true,30 sec,,,"Hold one of my feet or hands like it deserves worship, then compliment it for 30 seconds.","Sostén uno de mis pies o manos como si mereciera veneración, luego elógialo durante 30 segundos.",translated,
lvl2-d-011,dare,2,emotional,true,30 sec,,,"Write a short poem about me on my skin using your finger, then read it aloud.","Escribe un poema corto sobre mí en mi piel con tu dedo, luego léelo en voz alta.",translated,
lvl2-d-012,dare,2,physical,true,30 sec,,,"Kiss my collarbone and shoulder area for 30 seconds, varying pressure and speed.","Besa mi clavícula y la zona de los hombros durante 30 segundos, variando la presión y la velocidad.",translated,
lvl2-d-013,dare,2,playful,true,10 sec,,,Hover your lips near my cheek for 10 seconds before kissing it. Make me wait for it.,Deja tus labios cerca de mi mejilla durante 10 segundos antes de besarla. Hazme esperarlo.,translated,
lvl2-d-015,dare,2,physical,true,30 sec,,,Give me a scalp massage for 30 seconds while I relax completely.,Dame un masaje en el cuero cabelludo durante 30 segundos mientras me relajo por completo.,translated,
lvl2-c-001,challenge,2,physical,true,30 sec,blindfold,,"Sensory Exploration: Take turns being blindfolded while the other explores your body with hands only—no intimate areas, just appreciation of touch.","Exploración sensorial: Túrnense para estar vendados mientras el otro explora tu cuerpo solo con las manos —sin zonas íntimas, solo apreciando el tacto.",translated,
lvl2-c-002,challenge,2,emotional,true,10 sec,music,,Mood Music: Each of you names one song for a slow striptease entrance. Hum 10 seconds of yours.,Música de ambiente: Cada uno nombra una canción para una entrada de striptease lento. Tararea 10 segundos de la tuya.,translated,
lvl2-c-003,challenge,2,playful,true,30 sec,,,"Surprise Signal: Each of you invents one secret gesture that means ""I want your attention."" Demonstrate it.",Señal sorpresa: Cada uno inventa un gesto secreto que significa «quiero tu atención». Demuéstralo.,translated,
lvl2-c-004,challenge,2,communication,true,30 sec,,,Question Deep Dive: Take turns asking each other increasingly personal questions for 30 seconds. No dodging.,Inmersión de preguntas: Túrnense para hacerse preguntas cada vez más personales durante 30 segundos. Sin esquivar.,translated,
lvl2-c-005,challenge,2,intimate,true,30 sec,,,"Mirror Touch: One person touches themselves somewhere, the other mirrors it on themselves. Take turns for 30 seconds.","Tacto espejo: Una persona se toca en algún lugar, la otra lo imita en sí misma. Túrnense durante 30 segundos.",translated,
lvl2-c-006,challenge,2,emotional,true,30 sec,paper;pen,,"Gratitude Exchange: Write down 10 things you appreciate about each other, then read them aloud.","Intercambio de gratitud: Escriban 10 cosas que aprecian del otro, luego léanlas en voz alta.",translated,
lvl2-c-007,challenge,2,playful,true,30 sec,,,"Sous-Chef: Stand behind me, guide my hands like we're plating a five-star dish, and murmur the instructions in my ear.","Ayudante de cocina: Ponte detrás de mí, guía mis manos como si emplatáramos un plato de cinco estrellas y murmura las instrucciones a mi oído.",translated,
lvl2-c-009,challenge,2,communication,true,30 sec,paper;pen,,"Future Vision Board: Together, discuss and write down 5 shared goals or dreams for your future.","Tablero de visión del futuro: Juntos, hablen y escriban 5 metas o sueños compartidos para su futuro.",translated,
lvl2-c-013,challenge,2,emotional,true,30 sec,,,Memory Creation: Do something together right now that you want to remember in 10 years. Document it somehow.,Creación de recuerdos: Hagan algo juntos ahora mismo que quieran recordar en 10 años. Regístrenlo de algún modo.,translated,
lvl2-c-014,challenge,2,emotional,true,30 sec,,,"Trust Exercise: One person falls backward, the other catches them. Switch. Then discuss how it felt.","Ejercicio de confianza: Una persona se deja caer hacia atrás, la otra la atrapa. Cambien. Luego comenten cómo se sintió.",translated,
lvl2-c-015,challenge,2,physical,true,30 sec,blindfold,Power play is by mutual agreement—either of you can pause or stop the scene at any time.,Sensory Deprivation Lite: One person wears a blindfold while the other guides them around the room using only touch and voice.,Privación sensorial ligera: Una persona lleva una venda mientras la otra la guía por la habitación usando solo el tacto y la voz.,translated,
lvl2-fn-001,fantasy,2,playful,true,N/A,,,"Describe a romantic evening in Cartagena—walking the walled city, dinner, dancing. What would we do?","Describe una velada romántica en Cartagena: caminar por la ciudad amurallada, cenar, bailar. ¿Qué haríamos?",translated,
lvl2-rp-001,roleplay,2,intimate,true,30 sec,oil,,Masseuse and Client: Give me a professional massage that gradually becomes more intimate and personal.,Masajista y cliente: Dame un masaje profesional que poco a poco se vuelva más íntimo y personal.,translated,
lvl2-rp-003,roleplay,2,intimate,true,30 sec,,,Photographer and Model: Direct me into poses. Tell me how beautiful I am. Make me feel seen.,Fotógrafo y modelo: Dirígeme en poses. Dime lo hermoso que soy. Hazme sentir visto.,translated,
lvl2-rp-005,roleplay,2,physical,true,30 sec,,,"Yoga Instructor: Guide me through stretches, adjusting my position with your hands, staying close.","Instructor de yoga: Guíame por estiramientos, ajustando mi postura con tus manos, manteniéndote cerca.",translated,
lvl2-rp-006,roleplay,2,playful,true,30 sec,,,Bartender and Regular: You know my usual. We flirt across the bar. Convince me to stay for one more.,Cantinero y cliente habitual: Sabes lo de siempre. Coqueteamos a través de la barra. Convénceme de quedarme por uno más.,translated,
lvl2-t-001,truth,2,intimate,true,N/A,,,"What's something that instantly turns you on about me, even in everyday moments?","¿Qué es algo que me hace excitarte al instante, incluso en momentos cotidianos?",translated,
lvl2-t-002,truth,2,intimate,true,N/A,,,Describe a mild fantasy you've had about us that you've never shared before.,Describe una fantasía suave que hayas tenido sobre nosotros y que nunca hayas compartido.,translated,
lvl2-t-004,truth,2,physical,true,N/A,,,What's your favorite way I touch you? Describe the exact spot and pressure.,¿Cuál es tu forma favorita de que te toque? Describe el lugar y la presión exactos.,translated,
lvl2-t-005,truth,2,emotional,true,N/A,,,What's a bold little gesture from me that would make you blush in under 10 seconds?,¿Qué pequeño gesto atrevido mío te haría sonrojar en menos de 10 segundos?,translated,
lvl2-t-007,truth,2,physical,true,N/A,,,What's a secret spot on your body that loves attention but rarely gets it?,¿Cuál es un lugar secreto de tu cuerpo que ama la atención pero rara vez la recibe?,translated,
lvl2-t-010,truth,2,emotional,true,N/A,,,What's something that makes you feel truly seen and understood?,¿Qué es algo que te hace sentir verdaderamente visto y comprendido?,translated,
lvl2-t-012,truth,2,emotional,true,N/A,,,What's a fear or insecurity you have that you wish I knew about?,¿Cuál es un miedo o inseguridad que tienes y que desearías que yo conociera?,translated,
lvl2-t-013,truth,2,emotional,true,N/A,,,What does 'mi amor' or 'mi vida' mean to you from a partner?,¿Qué significa para ti «mi amor» o «mi vida» de parte de una pareja?,translated,
lvl2-t-014,truth,2,intimate,true,N/A,,,What's the most sensual non-sexual experience we could have together?,¿Cuál es la experiencia más sensual pero no sexual que podríamos tener juntos?,translated,
lvl2-d-005,dare,2,physical,true,30 sec,,,Trace your name on my back with your finger. I'll try to guess what you're writing.,Traza tu nombre en mi espalda con tu dedo. Yo trataré de adivinar qué escribes.,translated,
lvl2-d-014,dare,2,intimate,true,30 sec,,,Nibble gently on my earlobe while whispering what you're looking forward to doing with me.,Mordisquea suavemente mi lóbulo mientras susurras qué tienes ganas de hacer conmigo.,translated,
lvl2-c-008,challenge,2,physical,true,30 sec,,,"Body Appreciation: Take turns naming one thing you love about each part of the other's body, from head to toe.","Apreciación del cuerpo: Túrnense para nombrar una cosa que aman de cada parte del cuerpo del otro, de la cabeza a los pies.",translated,
lvl2-c-010,challenge,2,physical,true,30 sec,ice;warm-cloth,,Temperature Play Intro: Use a warm washcloth and a cool ice cube (wrapped) on each other's arms and neck. Notice the sensations.,Introducción al juego de temperatura: Usen un paño tibio y un cubo de hielo frío (envuelto) en los brazos y el cuello del otro. Noten las sensaciones.,translated,
lvl2-c-011,challenge,2,communication,true,30 sec,,,Love Language Discovery: Each share your top two love languages and give an example of how the other could 'speak' them.,Descubrimiento del lenguaje del amor: Cada uno comparte sus dos lenguajes del amor principales y da un ejemplo de cómo el otro podría «hablarlos».,translated,
lvl2-c-012,challenge,2,emotional,true,30 sec,,,"Breathing Together: Lie down facing each other, place hands on each other's hearts, and sync your breathing for 30 seconds.","Respirar juntos: Acuéstense frente a frente, pongan las manos sobre el corazón del otro y sincronicen su respiración durante 30 segundos.",translated,
lvl2-fn-002,fantasy,2,intimate,true,N/A,,,Imagine we're on a secluded beach at sunset. Describe what happens as the sun goes down.,Imagina que estamos en una playa apartada al atardecer. Describe lo que pasa mientras se pone el sol.,translated,
lvl2-fn-003,fantasy,2,playful,true,N/A,,,Pretend we're at a salsa club and I'm a stranger you want to dance with. Ask me to dance.,Imagina que estamos en un club de salsa y soy un desconocido con quien quieres bailar. Invítame a bailar.,translated,
lvl2-fn-004,fantasy,2,emotional,true,N/A,,,"Describe the perfect morning after we've spent the night together—what we do, what we say, how we feel.","Describe la mañana perfecta después de pasar la noche juntos: qué hacemos, qué decimos, cómo nos sentimos.",translated,
lvl2-fn-005,fantasy,2,intimate,true,N/A,,,Imagine we're at a luxury thermal spa together. Describe the experience we'd have.,Imagina que estamos juntos en un lujoso spa termal. Describe la experiencia que tendríamos.,translated,
lvl2-fn-006,fantasy,2,emotional,true,N/A,,,Pretend we're writing love letters to each other from different cities. Read your letter to me.,Imagina que nos escribimos cartas de amor desde ciudades distintas. Léeme tu carta.,translated,
lvl2-fn-007,fantasy,2,intimate,true,N/A,,,"Describe a scenario where we have to be quiet because others are nearby, but we can't keep our hands off each other.","Describe un escenario donde tenemos que estar callados porque hay gente cerca, pero no podemos quitarnos las manos de encima.",translated,
lvl2-fn-008,fantasy,2,playful,true,N/A,,,Imagine we're cooking together in a small kitchen and things get increasingly flirty. Act it out.,Imagina que estamos cocinando juntos en una cocina pequeña y las cosas se ponen cada vez más coquetas. Actúalo.,translated,
lvl2-rp-002,roleplay,2,playful,true,30 sec,,,Old Friends Reunited: We haven't seen each other in years. We meet at a café and the spark is immediate.,Viejos amigos reunidos: No nos vemos hace años. Nos encontramos en un café y la chispa es inmediata.,translated,
lvl2-rp-004,roleplay,2,playful,true,30 sec,,,Neighbor: I've locked myself out. You invite me in. We realize we've been eyeing each other for months.,Vecino: Me quedé afuera sin llaves. Me invitas a pasar. Nos damos cuenta de que llevamos meses mirándonos.,translated,
lvl2-rp-007,roleplay,2,intimate,true,30 sec,,,Personal Shopper: Help me try on clothes. Give your opinion on each item. Get increasingly handsy with 'adjustments'.,Personal shopper: Ayúdame a probarme ropa. Da tu opinión de cada prenda. Vuélvete cada vez más atrevido con los «ajustes».,translated,
lvl2-d-016,dare,2,intimate,true,30 sec,,,"Closet Swap: Your partner completely dresses you in something from their closet for the remainder of the game, or until they decide you have had enough.","Cambio de armario: Tu pareja te viste por completo con algo de su armario para el resto del juego, o hasta que decida que ya tuviste suficiente.",translated,
lvl2-d-017,dare,2,playful,true,30 sec,nail-polish,,"Nail Salon: Your partner paints one nail with a color of their choice, then kisses the air above it like a finished masterpiece.","Salón de uñas: Tu pareja pinta una de tus uñas con un color de su elección, luego besa el aire por encima como una obra maestra terminada.",translated,
lvl2-c-016,challenge,2,playful,true,30 sec,,,Runway Round: We each put on one item from the other person's closet and do a 20 second runway walk. Best attitude wins.,Ronda de pasarela: Cada uno se pone una prenda del armario del otro y hace una caminata de pasarela de 20 segundos. Gana la mejor actitud.,translated,
lvl2-rp-008,roleplay,2,playful,true,30 sec,makeup,,"Makeover Artist: Style my hair, add a little makeup, or accessorize me. Then tell me why I look irresistible.","Artista de cambio de look: Peina mi cabello, ponme un poco de maquillaje o añádeme accesorios. Luego dime por qué me veo irresistible.",translated,
lvl2-d-018,dare,2,intimate,true,30 sec,,,Hidden Claim: Your partner chooses one clothing item for you to slip on or hold under your outfit for exactly 30 seconds.,Marca oculta: Tu pareja elige una prenda para que te la pongas o la sostengas bajo tu conjunto durante exactamente 30 segundos.,translated,
lvl2-c-017,challenge,2,playful,true,30 sec,,,"Outfit Rules: Your partner dresses you in one of their items and gives you three rules for how to sit, stand, pose, or behave while wearing it.","Reglas del conjunto: Tu pareja te viste con una de sus prendas y te da tres reglas de cómo sentarte, pararte, posar o comportarte mientras la llevas.",translated,
lvl2-qk-001,dare,2,intimate,true,30 sec,,,Remove exactly one item of clothing—your choice—and take a full 30 seconds doing it.,Quítate exactamente una prenda —tú eliges— y tómate 30 segundos completos para hacerlo.,translated,
lvl2-qk-002,dare,2,playful,true,30 sec,clothing,,Swap one clothing item with me right now. Wear mine like it was always yours.,Intercambia una prenda conmigo ahora mismo. Lleva la mía como si siempre hubiera sido tuya.,translated,
lvl2-qk-003,dare,2,intimate,true,30 sec,lipstick,,Apply lipstick—on yourself or on me—slowly. Then leave one perfect print somewhere visible.,Aplica labial —a ti o a mí— despacio. Luego deja una marca perfecta en un lugar visible.,translated,
lvl2-qk-004,dare,2,intimate,true,30 sec,robe,,Put on a robe or my shirt with nothing underneath but attitude. Model it. One slow turn.,Ponte una bata o mi camisa sin nada debajo salvo actitud. Modélala. Un giro lento.,translated,
lvl2-qk-005,dare,2,intimate,true,30 sec,mirror,,"Stand behind me facing the mirror. Tell my reflection three things you'd like to do—PG words, R-rated eyes.","Ponte detrás de mí frente al espejo. Dile a mi reflejo tres cosas que te gustaría hacer: palabras aptas, mirada prohibida.",translated,
lvl2-qk-006,truth,2,intimate,true,N/A,,,"Lingerie, an old t-shirt, or nothing but jewelry—which look sounds hottest right now, and why?","Lencería, una camiseta vieja o solo joyas: ¿qué look suena más ardiente ahora mismo, y por qué?",translated,
lvl2-qk-007,dare,2,intimate,true,30 sec,,,Trace the neckline of whatever I'm wearing with one fingertip. Once. Slowly. Then walk away.,Traza el escote de lo que llevo puesto con la yema de un dedo. Una vez. Despacio. Luego aléjate.,translated,
